name,year,ipo_id,slug,url,listing_gain_pct,issue_price,listing_price,listing_date,listing_date_raw,face_value,price_band_low,price_band_high,offer_price,lot_size,sale_type,exchange,issue_size_cr,fresh_issue_cr,nse_symbol,bse_code,isin,ronw,promoter_holding_pre,market_cap_cr,fresh_issue_pct,promoter_holding_post,qib_sub,hni_sub,rii_sub,total_sub,anchor_data_available,has_top_anchor,qib_retail_ratio,sub_intensity_score,gmp_data_available,nse_ticker,listing_price_actual,return_1M,return_3M,return_6M,return_1Y,alpha_1M,alpha_3M,alpha_6M,alpha_1Y,nifty_at_listing,nifty_30d_return_pct,nifty_7d_return_pct,vix_at_listing,target_listing_positive,target_listing_gt10,target_listing_gt20,target_1y_positive,target_1y_gt25,target_beat_nifty,ofs_cr,ofs_pct,employee_sub,roe,roce,anchor_price,anchor_pct_of_qib,anchor_investors_count,anchor_names_sample,anchor_amount_cr,total_assets_cr,revenue_cr,pat_cr,net_worth_cr,reserves_cr,total_debt_cr,debt_equity,pat_margin_pct,eps,pe_ratio,revenue_per_share,price_to_book,sector,book_value,face_value_screener,ebitda_cr,ebitda_margin_pct,pb_ratio_screener
DAM Capital Advisors Ltd.,2024,2024_1936,dam-capital-advisors-ipo,https://www.chittorgarh.com/ipo/dam-capital-advisors-ipo/1936/,46.68,283.0,415.1,"Fri, Dec 27, 2024",,,,,,,,,,,,,,,,,,,166.3348,98.4709,26.7972,57.3758,1.0,1.0,6.207,118.07,0,,,,,,,,,,,23813.4,-1.9,-0.58,13.24,1,1,1,,,,,,40.0892,,,283.0,60.0,33.0,"NOMURA INDIA STOCK MOTHER FUND,THE | NOMURA | GOLDMAN SACHS FUNDS-GOLDMAN SACHS INDIA EQUITY PORTFOLIO | GOLDMAN SACHS | ASHOKA WHITEOAK ICAV-ASHOKA WHITEOAK EMERGING MARKETS EQUITY FUND",,,,,,,,,,,,,,,,,,,
DEE Development Engineers Ltd.,2024,2024_1746,dee-piping-systems-ipo,https://www.chittorgarh.com/ipo/dee-piping-systems-ipo/1746/,65.18,203.0,335.32,"Wed, Jun 26, 2024","Wed, Jun 26, 2024",10.0,193.0,203.0,203.0,73.0,Bookbuilding IPO,"BSE, NSE",418.0,325.0,DEEDEV,544198.0,INE841L01016,3.35,100.0,1401.69,77.75,76.81,206.5377,149.3835,23.6604,71.9272,1.0,1.0,8.729,152.82,0,,,,,,,,,,,,,,,1,1,1,,,,93.0,22.25,,700.0,3.91,203.0,60.0,19.0,HDFC DEFENCE FUND | HDFC MUTUAL FUND | KOTAK MANUFACTURE IN INDIA FUND | KOTAK MAHINDRA MUTUAL FUND | ADITYA BIRLA SUN LIFE INFRASTRUCTURE FUND,125.1,1171.01,557.86,14.34,428.19,380.23,407.14,0.85,2.63,2.45,83.0,93.16,3.27,Engineering,121.0,100.0,87.0,12.03,301.0
Deepak Builders & Engineers India Ltd.,2024,2024_1890,deepak-builders-engineers-ipo,https://www.chittorgarh.com/ipo/deepak-builders-engineers-ipo/1890/,-20.22,203.0,161.95,"Mon, Oct 28, 2024","Mon, Oct 28, 2024",10.0,192.0,203.0,203.0,73.0,Bookbuilding IPO,"BSE, NSE",260.0,217.0,DBEIL,544276.0,INE0OPA01019,9.57,100.0,945.59,83.46,77.05,13.9058,82.4713,39.7859,29.077,1.0,0.0,0.35,39.65,0,DBEIL,160.96,4.84,3.5,-16.73,-9.41,6.59,9.18,-17.23,-15.26,24466.85,-6.54,-0.02,14.52,0,0,0,0.0,0.0,0.0,43.0,16.54,,8.48,8.97,203.0,60.0,5.0,SAINT CAPITAL FUND | SAINT CAPITAL | NEOMILE GROWTH FUND | NEOMILE | ZEAL GLOBAL OPPORTUNITIES FUND,78.01,641.1,106.34,14.21,155.81,138.23,153.17,0.91,13.52,16.84,12.06,124.56,6.07,Engineering,918.0,100.0,26.0,10.88,881.0
Diffusion Engineers Ltd.,2024,2024_1874,diffusion-engineers-ipo,https://www.chittorgarh.com/ipo/diffusion-engineers-ipo/1874/,20.93,168.0,203.17,"Fri, Oct 4, 2024","Fri, Oct 4, 2024",10.0,159.0,168.0,168.0,88.0,Bookbuilding IPO,"BSE, NSE",158.0,158.0,DIFFNKG,544264.0,INE184O01015,18.52,93.1,628.76,100.0,67.97,95.7358,207.6027,85.6144,80.3313,1.0,1.0,1.118,127.27,0,DIFFNKG,202.2,72.17,66.68,31.96,81.21,76.24,72.27,43.37,80.54,25014.6,-0.73,-4.58,14.13,1,1,1,1.0,1.0,1.0,,,95.0541,18.52,20.63,168.0,60.0,5.0,3P INDIA EQUITY FUND I | 3P INDIA | HDFC DEFENCE FUND | HDFC MUTUAL FUND | HDFC DIVIDEND YIELD FUND,47.15,275.59,285.56,30.8,190.7,163.03,34.44,0.18,10.79,10.99,15.28,101.85,3.3,Engineering,,,,,
ECOS (India) Mobility & Hospitality Ltd.,2024,2024_1820,eco-mobility-ipo,https://www.chittorgarh.com/ipo/eco-mobility-ipo/1820/,32.68,334.0,443.15,"Wed, Sep 4, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,,,,,
EPACK Durable Ltd.,2024,2024_1619,epack-durable-ipo,https://www.chittorgarh.com/ipo/epack-durable-ipo/1619/,-9.74,230.0,207.6,"Tue, Jan 30, 2024","Tue, Jan 30, 2024",10.0,218.0,230.0,230.0,65.0,Bookbuilding IPO,"BSE, NSE",640.0,400.0,EPACK,544095.0,INE0G5901015,14.68,85.49,2203.37,62.5,67.34,25.5894,29.0662,6.5034,11.754,1.0,1.0,3.935,22.82,0,,,,,,,,,,,21725.7,-0.03,2.29,16.05,0,0,0,,,,240.0,37.5,,14.68,11.85,230.0,60.0,18.0,HDFC NON-CYCLICAL CONSUMER FUND | HDFC MUTUAL FUND | HDFC BUSINESS CYCLE FUND | HDFC DIVIDEND YIELD FUND | HDFC HYBRID EQUITY FUND,192.02,1071.45,616.32,2.65,478.31,,369.57,1.58,2.08,4.08,56.4,196.15,4.61,,,,,,
Emcure Pharmaceuticals Ltd.,2024,2024_1766,emcure-pharma-ipo,https://www.chittorgarh.com/ipo/emcure-pharma-ipo/1766/,34.84,1008.0,1359.15,"Wed, Jul 10, 2024","Wed, Jul 10, 2024",10.0,960.0,1008.0,1008.0,14.0,Bookbuilding IPO,"BSE, NSE",1952.0,801.0,EMCURE,544210.0,INE168P01015,16.87,83.21,19029.89,41.03,79.0,191.2399,49.3182,7.3584,47.9996,1.0,1.0,25.989,111.89,0,,,,,,,,,,,,,,,1,1,1,,,,1151.0,58.97,8.8132,16.9,19.37,1008.0,60.0,48.0,SBI MAGNUM CHILDREN'S BENEFIT FUND-INVESTMENT PLAN | SBI MUTUAL FUND | SBI HEALTHCARE OPPORTUNITIES FUND | HDFC PHARMA & HEALTHCARE FUND | HDFC MUTUAL FUND,582.61,7806.16,6715.24,527.58,2952.28,2722.4,2091.94,0.67,7.86,29.17,34.55,371.12,6.45,Pharmaceuticals,250.0,100.0,749.0,15.88,342.0
Entero Healthcare Solutions Ltd.,2024,2024_1643,entero-healthcare-solutions-ipo,https://www.chittorgarh.com/ipo/entero-healthcare-solutions-ipo/1643/,-8.62,1258.0,1149.55,"Fri, Feb 16, 2024","Fri, Feb 16, 2024",10.0,1195.0,1258.0,1258.0,11.0,Bookbuilding IPO,"BSE, NSE",1600.0,1000.0,ENTERO,544122.0,INE010601016,-1.86,77.11,3021.21,62.5,44.01,2.2879,0.2248,1.378,0.8605,1.0,1.0,1.66,1.49,0,,,,,,,,,,,,,,,0,0,0,,,,600.0,37.5,1.3251,-2.66,6.06,1258.0,60.0,25.0,"SMALLCAP WORLD FUND,INC. | SMALLCAP WORLD FUND | GOVERNMENT OF SINGAPORE | MONETARY AUTHORITY OF SINGAPORE | PIONEER INVESTMENT FUND-SCHEME II",716.4,1505.95,1898.98,11.64,660.54,,488.68,0.45,4.69,0.0,0.0,,4.57,Healthcare,406.0,100.0,23.0,1.7,464.0
Enviro Infra Engineers Ltd.,2024,2024_1911,enviro-infra-engineers-ipo,https://www.chittorgarh.com/ipo/enviro-infra-engineers-ipo/1911/,39.91,148.0,207.07,"Fri, Nov 29, 2024","Fri, Nov 29, 2024",10.0,140.0,148.0,148.0,101.0,Bookbuilding IPO,"BSE, NSE",650.0,572.0,EIEL,544290.0,INE0LLY01014,37.83,93.66,2597.84,88.0,71.64,157.0488,153.8005,24.481,62.9906,1.0,1.0,6.415,129.56,0,EIEL,207.07,50.61,-2.52,11.74,0.7,52.63,4.05,9.71,-7.18,24131.1,-1.37,0.94,14.43,1,1,1,1.0,0.0,0.0,78.0,12.0,37.7669,51.68,32.34,148.0,60.0,22.0,QUANT DYNAMIC ASSET ALLOCATION FUND | QUANT MUTUAL FUND | MOTILAL OSWAL MULTI CAP FUND | MOTILAL OSWAL MUTUAL FUND | ABAKKUS DIVERSIFIED ALPHA FUND II,194.69,812.87,207.46,30.78,323.0,186.29,305.59,0.8,15.17,8.08,18.32,53.26,8.04,Infrastructure,649.0,100.0,10.0,9.26,166.0
Exicom Tele-Systems Ltd.,2024,2024_1642,exicom-tele-systems-ipo,https://www.chittorgarh.com/ipo/exicom-tele-systems-ipo/1642/,58.42,142.0,224.95,"Tue, Mar 5, 2024","Tue, Mar 5, 2024",10.0,135.0,142.0,142.0,100.0,Bookbuilding IPO,"BSE, NSE",429.0,329.0,EXICOM,544133.0,INE777F01014,2.75,93.28,1715.71,76.69,74.1,124.8209,159.2908,124.2652,78.1303,1.0,1.0,1.004,135.05,0,,,,,,,,,,,,,,,1,1,1,,,,100.0,23.31,,13.38,10.92,142.0,55.34,16.0,QUANT MOMENTUM FUND | QUANT MUTUAL FUND | JM MIDCAP FUND | JM FINANCIAL MUTUAL FUND | JM VALUE FUND,178.05,629.41,467.21,27.46,311.4,204.95,72.84,0.23,4.3,0.65,217.63,15.12,5.51,,535.0,100.0,30.0,5.85,0
GPT Healthcare Ltd.,2024,2024_1655,gpt-healthcare-ipo,https://www.chittorgarh.com/ipo/gpt-healthcare-ipo/1655/,7.9,186.0,200.7,"Thu, Feb 29, 2024","Thu, Feb 29, 2024",10.0,177.0,186.0,186.0,80.0,Bookbuilding IPO,"BSE, NSE",525.0,40.0,GPTHEALTH,544131.0,INE486R01017,23.77,67.34,1526.22,7.62,64.72,17.2994,11.0163,2.4378,5.9656,1.0,1.0,7.096,12.44,0,,,,,,,,,,,,,,,1,0,0,,,,485.0,92.38,,23.59,26.09,186.0,60.0,15.0,ADITYA BIRLA SUN LIFE INSURANCE CO.LTD. | ADITYA BIRLA SUN LIFE INSURANCE | KOTAK SMALL CAP FUND | KOTAK MAHINDRA MUTUAL FUND | SOCIETE GENERALE-ODI,157.54,332.09,206.7,23.49,171.43,92.75,55.57,0.39,10.64,4.88,38.1,45.86,8.9,Healthcare,309.0,100.0,36.0,16.98,281.0
Gala Precision Engineering Ltd.,2024,2024_1829,gala-precision-engineering-ipo,https://www.chittorgarh.com/ipo/gala-precision-engineering-ipo/1829/,43.13,529.0,757.15,"Mon, Sep 9, 2024","Mon, Sep 9, 2024",10.0,503.0,529.0,529.0,28.0,Bookbuilding IPO,"BSE, NSE",168.0,135.0,GALAPREC,544244.0,INE0RE001014,21.38,74.56,670.24,80.36,54.42,232.5411,414.6234,91.9472,141.0988,1.0,0.0,2.529,259.05,0,GALAPREC,757.15,7.34,48.41,10.28,9.04,7.16,49.72,20.21,8.33,25041.1,2.76,-0.94,13.36,1,1,1,1.0,0.0,1.0,33.0,19.64,258.9469,23.59,19.91,529.0,60.0,8.0,NAV CAPITAL VCC-NAV CAPITAL EMERGING STAR FUND | NAV CAPITAL | NEGEN UNDISCOVERED VALUE FUND | NEGEN | COGNIZANT CAPITAL DYNAMIC OPPORTUNITIES FUND,50.29,188.69,204.38,22.33,104.45,94.67,55.03,0.53,11.89,22.09,23.95,185.79,6.42,Engineering,213.0,100.0,9.0,8.82,283.0
Garuda Construction & Engineering Ltd.,2024,2024_1883,garuda-construction-and-engineering-ipo,https://www.chittorgarh.com/ipo/garuda-construction-and-engineering-ipo/1883/,11.96,95.0,106.36,"Tue, Oct 15, 2024","Tue, Oct 15, 2024",5.0,90.0,95.0,95.0,157.0,Bookbuilding IPO,"BSE, NSE",264.0,174.0,GARUDA,544271.0,INE0JVO01026,30.62,96.82,883.9,65.91,77.13,1.3438,9.0336,10.8122,5.4081,1.0,0.0,0.124,5.54,0,GARUDA,106.34,-20.93,15.51,7.51,84.81,-14.95,22.87,11.23,81.67,24971.3,-1.62,-0.04,13.05,1,1,0,1.0,1.0,1.0,90.0,34.09,,36.14,46.69,95.0,60.0,7.0,AG DYNAMIC FUNDS LTD. | TRUST MF FLEXI CAP FUND | TRUST MUTUAL FUND | MAYBANK SECURITIES PTE.LTD. | MAYBANK,79.23,234.84,11.88,3.5,122.51,85.16,0.15,0.0,23.63,4.87,19.49,20.61,7.21,Infrastructure,416.0,500.0,4.0,3.23,149.0
Go Digit General Insurance Ltd.,2024,2024_1727,go-digit-general-insurance-ipo,https://www.chittorgarh.com/ipo/go-digit-general-insurance-ipo/1727/,12.5,272.0,306.0,"Thu, May 23, 2024","Thu, May 23, 2024",10.0,258.0,272.0,272.0,55.0,Bookbuilding IPO,"BSE, NSE",2615.0,1125.0,GODIGIT,544179.0,INE03JT01014,5.25,83.31,24947.9,43.02,78.8,12.5622,7.2363,4.2664,5.2808,1.0,1.0,2.944,9.31,0,GODIGIT,306.0,8.64,19.33,14.89,9.28,6.16,11.25,9.43,1.16,22957.1,2.63,2.47,21.71,1,1,0,1.0,0.0,1.0,1490.0,56.98,,119.0,108.0,272.0,60.0,56.0,FIDELITY FUNDS-INDIA FOCUS FUND | FIDELITY | FIDELITY INVESTMENT TRUST: FIDELITY EMERGING ASIA FUND | FIDELITY ADVISOR SERIES VIII: FIDELITY ADVISOR EMERGING ASIA FUND | FIDELITY INDIA FUND,1176.59,3619.95,130.83,129.02,2459.34,2391.97,200.0,0.08,98.62,0.41,670.31,0.42,10.14,Insurance,501.0,100.0,-114.0,-5.06,578.0
Godavari Biorefineries Ltd.,2024,2024_1895,godavari-biorefineries-ipo,https://www.chittorgarh.com/ipo/godavari-biorefineries-ipo/1895/,-2.5,352.0,343.2,"Wed, Oct 30, 2024","Wed, Oct 30, 2024",10.0,334.0,352.0,352.0,42.0,Bookbuilding IPO,"BSE, NSE",555.0,325.0,GODAVARIB,544279.0,INE497S01012,-11.16,81.06,1801.39,58.56,63.02,2.7567,0.9298,1.7638,1.3082,1.0,1.0,1.563,2.01,0,GODAVARIB,343.2,0.79,-29.79,-50.34,-24.49,1.06,-25.31,-50.64,-29.29,24205.35,-6.17,-0.8,15.55,0,0,0,0.0,0.0,0.0,230.0,41.44,,-11.16,-2.35,352.0,60.0,19.0,ICICI PRUDENTIAL ELSS TAX SAVER FUND | ICICI PRUDENTIAL MUTUAL FUND | HDFC MANUFACTURING FUND | HDFC MUTUAL FUND | HDFC NON-CYCLICAL CONSUMER FUND,166.42,1554.62,525.27,-26.11,233.84,432.34,703.75,3.01,-4.97,2.93,120.04,,7.7,,142.0,100.0,103.0,7.06,297.0
Gopal Snacks Ltd.,2024,2024_1667,gopal-namkeen-ipo,https://www.chittorgarh.com/ipo/gopal-namkeen-ipo/1667/,-9.55,401.0,362.7,"Thu, Mar 14, 2024","Thu, Mar 14, 2024",1.0,381.0,401.0,401.0,37.0,Bookbuilding IPO,"BSE, NSE",650.0,,GOPAL,544140.0,INE0L9R01028,16.05,93.5,4996.64,,93.5,18.4186,9.9958,4.2212,6.6642,1.0,1.0,4.363,13.05,0,,,,,,,,,,,,,,,0,0,0,,,,650.0,100.0,7.2731,16.05,20.83,401.0,60.0,19.0,ASHOKA WHITEOAK ICAV-ASHOKA WHITEOAK EMERGING MARKETS EQUITY FUND | ASHOKA WHITEOAK | WHITEOAK CAPITAL MID CAP FUND | WHITEOAK CAPITAL MUTUAL FUND | WHITEOAK CAPITAL MULTI CAP FUND,193.95,434.54,677.97,55.57,346.1,333.17,26.05,0.08,8.22,9.02,44.47,109.73,14.44,,348.0,100.0,86.0,9.71,926.0
Hyundai Motor India Ltd.,2024,2024_1879,hyundai-motor-ipo,https://www.chittorgarh.com/ipo/hyundai-motor-ipo/1879/,-7.16,1960.0,1819.6,"Tue, Oct 22, 2024","Tue, Oct 22, 2024",10.0,1865.0,1960.0,1960.0,7.0,Bookbuilding IPO,"BSE, NSE",27859.0,,HYUNDAI,544274.0,INE0V6F01027,12.26,100.0,159258.06,,,6.974,0.6015,0.5046,1.6621,1.0,1.0,13.821,3.77,0,HYUNDAI,1802.15,0.58,-6.44,-8.7,27.55,2.89,-1.06,-8.11,21.57,24435.5,-5.8,-2.15,14.62,0,0,0,1.0,1.0,1.0,27859.0,100.0,1.7439,422.0,13.69,1960.0,60.0,224.0,"GOVERNMENT OF SINGAPORE | MONETARY AUTHORITY OF SINGAPORE | NEW WORLD FUND,INC. | NEW WORLD FUND | AMERICAN FUNDS INSURANCE SERIES-NEW WORLD FUND",8315.28,25370.24,17567.98,1489.65,12148.71,11336.17,758.14,0.06,8.5,74.58,26.28,877.41,13.11,,209.0,100.0,4843.0,11.2,250.0
Indegene Ltd.,2024,2024_1713,indegene-ipo,https://www.chittorgarh.com/ipo/indegene-ipo/1713/,26.31,452.0,570.9,"Mon, May 13, 2024","Mon, May 13, 2024",2.0,430.0,452.0,452.0,33.0,Bookbuilding IPO,"BSE, NSE",1842.0,761.0,INDGN,544172.0,INE065X01017,18.23,30.71,10814.07,41.31,23.67,192.7172,55.9091,7.8556,49.3664,1.0,1.0,24.532,114.7,0,INDGN,568.99,2.18,-3.77,16.08,4.45,-3.33,-12.98,8.03,-7.22,22217.85,-2.36,-0.38,20.2,1,1,1,1.0,0.0,0.0,1081.0,58.69,6.6241,206.0,248.0,452.0,60.0,36.0,"SMALLCAP WORLD FUND,INC. | SMALLCAP WORLD FUND | AMERICAN FUNDS INSURANCE SERIES-GLOBAL SMALL CAPITALIZATION FUND | AMERICAN FUNDS INSURANCE SERIES | CUSTODY BANK OF JAPAN,LTD.RE: RB AMUNDI INDIA SMALL CAP EQUITY MOTHER FUND",548.78,2518.15,1969.75,241.9,1327.0,1282.65,399.33,0.3,12.62,11.96,37.78,94.77,8.15,,119.0,200.0,42.0,7.59,266.0
Interarch Building Products Ltd.,2024,2024_1811,interarch-building-products-ipo,https://www.chittorgarh.com/ipo/interarch-building-products-ipo/1811/,32.94,900.0,1196.45,"Mon, Aug 26, 2024",,,,,,,,,,,,,,,,3191.0,,,197.2869,130.9127,19.4642,65.7591,1.0,1.0,10.136,141.81,0,,,,,,,,,,,,,,,1,1,1,,,,,,25.7504,180.0,248.0,900.0,60.0,20.0,ICICI PRUDENTIAL HOUSING OPPORTUNITIES FUND | ICICI PRUDENTIAL MUTUAL FUND | ICICI PRUDENTIAL EXPORTS & SERVICES FUND | WHITEOAK CAPITAL FLEXI CAP FUND | WHITEOAK CAPITAL MUTUAL FUND,,,698.0,7.0,15.0,,40.0,2.67,1.0,,230.0,,,,477.0,100.0,15.0,2.15,230.0
International Gemmological Institute (India) Ltd.,2024,2024_1930,international-gemmological-institute-ipo,https://www.chittorgarh.com/ipo/international-gemmological-institute-ipo/1930/,12.99,417.0,471.15,"Fri, Dec 20, 2024","Fri, Dec 20, 2024",2.0,397.0,417.0,417.0,35.0,Bookbuilding IPO,"BSE, NSE",4225.0,1475.0,IGIL,544311.0,INE0Q9301021,76.58,100.0,18020.85,34.91,91.82,48.1119,26.087,11.7703,19.5248,1.0,1.0,4.088,34.24,0,IGIL,461.23,8.14,-22.83,-23.47,-27.63,10.53,-21.82,-30.5,-38.04,23587.5,1.02,-4.77,15.07,1,1,0,0.0,0.0,0.0,2750.0,65.09,21.7898,76.58,80.96,417.0,60.0,68.0,GOVERNMENT OF SINGAPORE | MONETARY AUTHORITY OF SINGAPORE | ICICI PRUDENTIAL LARGE & MID CAP FUND | ICICI PRUDENTIAL MUTUAL FUND | ICICI PRUDENTIAL FLEXICAP FUND,1900.35,775.6,619.49,326.06,643.41,,27.0,0.04,54.68,7.54,50.98,,28.01,,326.0,200.0,335.0,68.23,275.0
Inventurus Knowledge Solutions Ltd.,2024,2024_1926,inventurus-knowledge-solutions-ipo,https://www.chittorgarh.com/ipo/inventurus-knowledge-solutions-ipo/1926/,47.54,1329.0,1960.85,"Thu, Dec 19, 2024","Thu, Dec 19, 2024",1.0,1265.0,1329.0,1329.0,11.0,Bookbuilding IPO,"BSE, NSE",2498.0,,IKS,544309.0,INE115Q01022,32.0,67.66,22802.07,,67.66,80.6449,23.2531,14.552,29.0538,1.0,1.0,5.542,50.21,0,,,,,,,,,,,23587.5,1.02,-4.77,15.07,1,1,1,,,,2498.0,100.0,,32.0,31.56,1329.0,60.0,61.0,FIDELITY FUNDS-INDIA FOCUS FUND | FIDELITY | GOVERNMENT PENSION FUND GLOBAL | HDFC MULTI CAP FUND | HDFC MUTUAL FUND,1120.18,2790.52,1294.61,208.58,1377.11,1360.17,828.63,-0.06,20.38,21.59,61.55,105.94,16.56,,131.0,100.0,162.0,30.62,392.0
J.G.Chemicals Ltd.,2024,2024_1663,jg-chemicals-ipo,https://www.chittorgarh.com/ipo/jg-chemicals-ipo/1663/,-16.38,221.0,184.8,"Wed, Mar 13, 2024","Wed, Mar 13, 2024",10.0,210.0,221.0,221.0,67.0,Bookbuilding IPO,"BSE, NSE",251.0,165.0,JGCHEM,544138.0,INE0MB501011,8.16,100.0,866.01,65.74,80.95,32.3304,47.9179,18.029,19.9639,1.0,1.0,1.793,34.15,0,,,,,,,,,,,,,,,0,0,0,,,,86.0,34.26,,8.2,11.86,221.0,60.0,4.0,MASSACHUSETTS INSTITUTE OF TECHNOLOGY | CARNELIAN STRUCTURAL SHIFT FUND | CARNELIAN | PINEBRIDGE GLOBAL FUNDS-PINEBRIDGE INDIA EQUITY FUND | PINEBRIDGE,75.36,271.26,491.1,18.51,217.86,193.22,52.0,0.11,7.24,13.6,16.25,187.85,3.98,Chemicals,126.0,100.0,20.0,5.03,220.0
JNK India Ltd.,2024,2024_1704,jnk-india-ipo,https://www.chittorgarh.com/ipo/jnk-india-ipo/1704/,67.36,415.0,694.55,"Tue, Apr 30, 2024","Tue, Apr 30, 2024",2.0,395.0,415.0,415.0,36.0,Bookbuilding IPO,"BSE, NSE",649.0,300.0,JNKINDIA,544167.0,INE0OAF01028,31.79,94.56,2308.27,46.22,81.56,74.3943,23.804,4.205,19.9212,1.0,1.0,17.692,45.18,0,,,,,,,,,,,,,,,1,1,1,,,,349.0,53.78,,31.79,34.73,415.0,60.0,19.0,KOTAK MANUFACTURE IN INDIA FUND | KOTAK MAHINDRA MUTUAL FUND | KOTAK CONTRA FUND | KOTAK INFRASTRUCTURE & ECONOMIC REFORM FUND | HDFC DEFENCE FUND,194.84,453.39,256.76,46.21,168.56,158.88,56.73,0.34,18.24,9.58,43.32,52.52,13.69,,926.0,200.0,12.0,11.76,348.0
Jana Small Finance Bank Ltd.,2024,2024_1640,jana-sfb-ipo,https://www.chittorgarh.com/ipo/jana-sfb-ipo/1640/,-11.07,414.0,368.15,"Wed, Feb 14, 2024","Wed, Feb 14, 2024",10.0,393.0,414.0,414.0,36.0,Bookbuilding IPO,"BSE, NSE",570.0,462.0,JSFB,544118.0,INE953L01027,14.4,25.2,4330.04,81.05,14.53,39.8123,26.1326,5.6973,13.5964,1.0,1.0,6.988,28.89,0,,,,,,,,,,,21910.75,-0.84,0.89,15.23,0,0,0,,,,108.0,18.95,,16.78,815.0,414.0,60.0,17.0,EAST BRIDGE CAPITAL MASTER FUND I LTD. | EAST BRIDGE | SBI LIFE INSURANCE CO.LTD. | SBI LIFE INSURANCE | TURNAROUND OPPORTUNITIES FUND,166.95,28105.87,2215.57,213.22,2547.11,2225.44,5313.54,3.49,9.62,27.4,15.11,284.82,1.7,Banking & Finance,407.0,100.0,,,130.0
Juniper Hotels Ltd.,2024,2024_1654,juniper-hotels-ipo,https://www.chittorgarh.com/ipo/juniper-hotels-ipo/1654/,11.53,360.0,401.5,"Wed, Feb 28, 2024","Wed, Feb 28, 2024",10.0,342.0,360.0,360.0,40.0,Bookbuilding IPO,"BSE, NSE",1800.0,1800.0,JUNIPER,544129.0,INE696F01016,-0.42,100.0,8010.09,100.0,77.53,3.1141,0.8896,1.3075,1.1984,1.0,1.0,2.382,2.09,0,JUNIPER,401.5,26.95,-0.15,-0.26,-29.13,24.66,-3.2,-14.81,-31.83,21982.8,1.18,-1.06,15.57,1,1,0,0.0,0.0,0.0,,,,264.0,631.0,360.0,60.0,43.0,FIDELITY FUNDS-SUSTAINABLE CONSUMER BRANDS POOL | FIDELITY | FIDELITY FUNDS-INDIA FOCUS FUND | GOVERNMENT PENSION FUND GLOBAL | KOTAK MULTICAP FUND,810.0,3837.83,337.43,-26.5,859.67,687.17,2252.75,2.62,-7.85,-1.19,314.0,,9.32,Hospitality,124.0,100.0,170.0,31.54,314.0
Jyoti CNC Automation Ltd.,2024,2024_1611,jyoti-cnc-automation-ipo,https://www.chittorgarh.com/ipo/jyoti-cnc-automation-ipo/1611/,31.18,331.0,434.2,"Tue, Jan 16, 2024","Tue, Jan 16, 2024",2.0,315.0,331.0,331.0,45.0,Bookbuilding IPO,"BSE, NSE",1000.0,1000.0,JYOTICNC,544081.0,INE980O01024,18.35,72.66,7527.47,100.0,59.38,46.3734,38.334,27.5037,22.3639,1.0,1.0,1.686,40.19,0,,,,,,,,,,,,,,,1,1,1,,,,,,13.1394,18.35,9.5,331.0,60.0,37.0,ICICI PRUDENTIAL MIDCAP FUND | ICICI PRUDENTIAL MUTUAL FUND | ICICI PRUDENTIAL INFRASTRUCTURE FUND | ICICI PRUDENTIAL REGULAR SAVINGS FUND | NIPPON INDIA POWER & INFRA FUND,447.75,1706.07,510.53,3.35,205.63,213.33,821.4,10.17,1.58,0.76,433.43,48.1,36.61,Automobile,805.0,200.0,92.0,9.53,448.0
KRN Heat Exchanger & Refrigeration Ltd.,2024,2024_1864,krn-heat-exchanger-ipo,https://www.chittorgarh.com/ipo/krn-heat-exchanger-ipo/1864/,117.63,220.0,478.79,"Thu, Oct 3, 2024","Thu, Oct 3, 2024",10.0,209.0,220.0,220.0,65.0,Bookbuilding IPO,"BSE, NSE",342.0,342.0,KRN,544263.0,INE0Q3J01015,29.68,94.39,1309.51,100.0,68.27,253.0369,430.5435,96.7363,150.9354,1.0,1.0,2.616,275.03,0,KRN,478.79,-2.28,66.15,71.38,73.88,1.47,71.08,80.67,74.69,25014.6,-0.73,-4.58,14.13,1,1,1,1.0,1.0,1.0,,,,40.86,31.21,220.0,59.42,10.0,WHITEOAK CAPITAL MULTI CAP FUND | WHITEOAK CAPITAL MUTUAL FUND | WHITEOAK CAPITAL ELSS TAX SAVER FUND | BANDHAN SMALL CAP FUND | BANDHAN MUTUAL FUND,100.1,258.36,313.54,39.07,59.57,,59.69,0.45,12.67,8.88,24.78,70.09,21.98,,850.0,100.0,59.0,19.22,960.0
